timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2025-02-14T00:00:00.000Z";"2025-02-14T23:59:59.999Z";"2025-02-14T18:19:00.000Z";"2025-02-14T00:49:00.000Z";"2781";0.2478063836;0.2692327388;0.2447061322;0.2612741544;41749755.7;154803459.98;"2025-02-14T23:59:59.999Z"
"2025-02-13T00:00:00.000Z";"2025-02-13T23:59:59.999Z";"2025-02-13T01:30:00.000Z";"2025-02-13T14:21:00.000Z";"2781";0.2524937607;0.2627117451;0.2415650998;0.2478063836;44799778.67;146363647.72;"2025-02-13T23:59:59.999Z"
"2025-02-12T00:00:00.000Z";"2025-02-12T23:59:59.999Z";"2025-02-12T22:41:00.000Z";"2025-02-12T16:29:00.000Z";"2781";0.2494509248;0.2548056793;0.2287839401;0.2524937607;50860048.07;148784782.24;"2025-02-12T23:59:59.999Z"
"2025-02-11T00:00:00.000Z";"2025-02-11T23:59:59.999Z";"2025-02-11T06:24:00.000Z";"2025-02-11T23:01:00.000Z";"2781";0.2500590815;0.2800328527;0.2457673644;0.2494509248;68175365.07;146590976.27;"2025-02-11T23:59:59.999Z"
"2025-02-10T00:00:00.000Z";"2025-02-10T23:59:59.999Z";"2025-02-10T00:07:00.000Z";"2025-02-10T03:05:00.000Z";"2781";0.2568505916;0.2627541246;0.2433184262;0.2500590815;38660010.6;146423945.62;"2025-02-10T23:59:59.999Z"
"2025-02-09T00:00:00.000Z";"2025-02-09T23:59:59.999Z";"2025-02-09T01:30:00.000Z";"2025-02-09T21:55:00.000Z";"2781";0.2754672201;0.2864536847;0.2471384008;0.2568505916;45948350.27;150032481.5;"2025-02-09T23:59:59.999Z"
"2025-02-08T00:00:00.000Z";"2025-02-08T23:59:59.999Z";"2025-02-08T23:55:00.000Z";"2025-02-08T02:16:00.000Z";"2781";0.2477969267;0.2771698527;0.2387758735;0.2754672201;56694218.86;160427529.8;"2025-02-08T23:59:59.999Z"
"2025-02-07T00:00:00.000Z";"2025-02-07T23:59:59.999Z";"2025-02-07T05:31:00.000Z";"2025-02-07T00:01:00.000Z";"2781";0.2302365896;0.2799880781;0.2298535155;0.2477969267;124636910.16;143931996.12;"2025-02-07T23:59:59.999Z"
"2025-02-06T00:00:00.000Z";"2025-02-06T23:59:59.999Z";"2025-02-06T08:52:00.000Z";"2025-02-06T15:55:00.000Z";"2781";0.2470528028;0.288819937;0.2253523208;0.2302365896;125928628.3;133185422.85;"2025-02-06T23:59:59.999Z"
"2025-02-05T00:00:00.000Z";"2025-02-05T23:59:59.999Z";"2025-02-05T06:13:00.000Z";"2025-02-05T22:40:00.000Z";"2781";0.268327046;0.2745551055;0.2417851071;0.2470528028;51164952.46;142555679.25;"2025-02-05T23:59:59.999Z"
"2025-02-04T00:00:00.000Z";"2025-02-04T23:59:59.999Z";"2025-02-04T00:07:00.000Z";"2025-02-04T22:01:00.000Z";"2781";0.3156656693;0.3199526833;0.2632093372;0.268327046;60865563.05;154522915.28;"2025-02-04T23:59:59.999Z"
"2025-02-03T00:00:00.000Z";"2025-02-03T23:59:59.999Z";"2025-02-03T19:14:00.000Z";"2025-02-03T02:11:00.000Z";"2781";0.3052016021;0.3208000014;0.2412051405;0.3156656693;130559572.08;181162996.47;"2025-02-03T23:59:59.999Z"
"2025-02-02T00:00:00.000Z";"2025-02-02T23:59:59.999Z";"2025-02-02T17:34:00.000Z";"2025-02-02T23:29:00.000Z";"2781";0.3172657806;0.3612762143;0.2897090737;0.3052016021;191507569.79;174707546.67;"2025-02-02T23:59:59.999Z"
"2025-02-01T00:00:00.000Z";"2025-02-01T23:59:59.999Z";"2025-02-01T00:54:00.000Z";"2025-02-01T23:28:00.000Z";"2781";0.3850448178;0.3975358233;0.3138150176;0.3172657806;89089271.95;181207193.1;"2025-02-01T23:59:59.999Z"
"2025-01-31T00:00:00.000Z";"2025-01-31T23:59:59.999Z";"2025-01-31T00:01:00.000Z";"2025-01-31T05:05:00.000Z";"2781";0.4461724193;0.4465202797;0.3785857837;0.3850568062;243492028.35;219285501.63;"2025-01-31T23:59:59.999Z"
"2025-01-30T00:00:00.000Z";"2025-01-30T23:59:59.999Z";"2025-01-30T17:22:00.000Z";"2025-01-30T00:35:00.000Z";"2781";0.2944675095;0.4615036407;0.2930198887;0.4461724193;380003860.54;252919661.82;"2025-01-30T23:59:59.999Z"
"2025-01-29T00:00:00.000Z";"2025-01-29T23:59:59.999Z";"2025-01-29T21:40:00.000Z";"2025-01-29T00:34:00.000Z";"2781";0.2842522461;0.3106934732;0.2773398694;0.2944516673;33418765.46;165926373.49;"2025-01-29T23:59:59.999Z"
"2025-01-28T00:00:00.000Z";"2025-01-28T23:59:59.999Z";"2025-01-28T05:38:00.000Z";"2025-01-28T23:35:00.000Z";"2781";0.3128731671;0.3222650945;0.280266242;0.2842522461;32633355.06;159701761.21;"2025-01-28T23:59:59.999Z"
"2025-01-27T00:00:00.000Z";"2025-01-27T23:59:59.999Z";"2025-01-27T00:10:00.000Z";"2025-01-27T07:31:00.000Z";"2781";0.3401068866;0.3464471165;0.2903530249;0.3128731671;58971397.65;175579421.39;"2025-01-27T23:59:59.999Z"
"2025-01-26T00:00:00.000Z";"2025-01-26T23:59:59.999Z";"2025-01-26T17:52:00.000Z";"2025-01-26T08:37:00.000Z";"2781";0.3187226655;0.3515380888;0.3162491763;0.3401068866;62442353.92;190546296.68;"2025-01-26T23:59:59.999Z"
"2025-01-25T00:00:00.000Z";"2025-01-25T23:59:59.999Z";"2025-01-25T15:16:00.000Z";"2025-01-25T05:11:00.000Z";"2781";0.3197357348;0.3404996146;0.3127665537;0.3187226655;41622380.83;177958077.03;"2025-01-25T23:59:59.999Z"
"2025-01-24T00:00:00.000Z";"2025-01-24T23:59:59.999Z";"2025-01-24T00:07:00.000Z";"2025-01-24T23:52:00.000Z";"2781";0.3612627543;0.3625432292;0.3179750092;0.3197341053;53262088.46;177982759.2;"2025-01-24T23:59:59.999Z"
"2025-01-23T00:00:00.000Z";"2025-01-23T23:59:59.999Z";"2025-01-23T15:07:00.000Z";"2025-01-23T13:26:00.000Z";"2781";0.3675456285;0.3904304826;0.3508397875;0.361260737;63033580.51;200420086.92;"2025-01-23T23:59:59.999Z"
"2025-01-22T00:00:00.000Z";"2025-01-22T23:59:59.999Z";"2025-01-22T07:02:00.000Z";"2025-01-22T23:13:00.000Z";"2781";0.389793522;0.406688886;0.3655396336;0.3675505313;84818832.55;202766084.23;"2025-01-22T23:59:59.999Z"
"2025-01-21T00:00:00.000Z";"2025-01-21T23:59:59.999Z";"2025-01-21T18:19:00.000Z";"2025-01-21T04:47:00.000Z";"2781";0.3826138519;0.4151597181;0.3519016426;0.389793522;78460248.51;214118266.72;"2025-01-21T23:59:59.999Z"
"2025-01-20T00:00:00.000Z";"2025-01-20T23:59:59.999Z";"2025-01-20T07:03:00.000Z";"2025-01-20T03:01:00.000Z";"2781";0.3880191406;0.4200160905;0.3617885754;0.3826138519;140106726.71;207645517.07;"2025-01-20T23:59:59.999Z"
"2025-01-19T00:00:00.000Z";"2025-01-19T23:59:59.999Z";"2025-01-19T01:13:00.000Z";"2025-01-19T23:41:00.000Z";"2781";0.5468126286;0.5754650217;0.3766463721;0.3880191406;349184037.97;210458587.78;"2025-01-19T23:59:59.999Z"
"2025-01-18T00:00:00.000Z";"2025-01-18T23:59:59.999Z";"2025-01-18T09:05:00.000Z";"2025-01-18T16:16:00.000Z";"2781";0.5476112936;0.5605024544;0.4974844383;0.5468126286;211329277.64;298291288.69;"2025-01-18T23:59:59.999Z"
"2025-01-17T00:00:00.000Z";"2025-01-17T23:59:59.999Z";"2025-01-17T08:07:00.000Z";"2025-01-17T18:59:00.000Z";"2781";0.5371862576;0.5808468287;0.5355804597;0.5476112936;110664171.9;286061568.02;"2025-01-17T23:59:59.999Z"
"2025-01-16T00:00:00.000Z";"2025-01-16T23:59:59.999Z";"2025-01-16T00:00:00.000Z";"2025-01-16T15:03:00.000Z";"2781";0.5821295024;0.5821295024;0.5288568046;0.5371862576;133655601.44;280038824.66;"2025-01-16T23:59:59.999Z"
"2025-01-15T00:00:00.000Z";"2025-01-15T23:59:59.999Z";"2025-01-15T22:53:00.000Z";"2025-01-15T11:34:00.000Z";"2781";0.5388524535;0.5985372247;0.4990359059;0.5821226356;208388885.27;302564611;"2025-01-15T23:59:59.999Z"
"2025-01-14T00:00:00.000Z";"2025-01-14T23:59:59.999Z";"2025-01-14T05:04:00.000Z";"2025-01-14T00:01:00.000Z";"2781";0.5295734401;0.5698723033;0.5290535415;0.5388524535;155111176.52;280111539.68;"2025-01-14T23:59:59.999Z"
"2025-01-13T00:00:00.000Z";"2025-01-13T23:59:59.999Z";"2025-01-13T00:38:00.000Z";"2025-01-13T12:53:00.000Z";"2781";0.5894267564;0.6059385511;0.4989762518;0.5295734401;197870621.61;274238245;"2025-01-13T23:59:59.999Z"
